province_id,province_name,lat,lng
AB,Alberta,53.9492,-113.595
QC,Quebec,48.2938,-79.0274
QC,Quebec,46.6667,-72.6167
QC,Quebec,45.3333,-73.9667
NB,New Brunswick,46.5221,-65.1114
MB,Manitoba,49.7678,-95.8842
MB,Manitoba,50.43,-97.7933
BC,British Columbia,49.4581,-123.2369
QC,Quebec,45.8667,-77.0667
ON,Ontario,48.6333,-93.8333
QC,Quebec,45.3167,-73.0667
QC,Quebec,47.4833,-70.3167
BC,British Columbia,49.3696,-124.5772
QC,Quebec,49.05,-68.4333
ON,Ontario,49.2833,-81.6333
SK,Saskatchewan,49.2333,-102.1667
BC,British Columbia,54.6972,-127.05
NU,Nunavut,68.6448,-95.8912
QC,Quebec,45.1667,-74.2
AB,Alberta,53.9503,-115.1336
QC,Quebec,47.67,-68.98
MB,Manitoba,50.5661,-96.1981
NL,Newfoundland and Labrador,49.9167,-56.1833
QC,Quebec,45.2333,-73.5167
NB,New Brunswick,48,-66.32
NB,New Brunswick,45.9052,-64.7652
AB,Alberta,53.8042,-112.9278
NL,Newfoundland and Labrador,47.6,-57.6333
SK,Saskatchewan,51.9458,-103.8014
NB,New Brunswick,46.0776,-67.7248
AB,Alberta,54.7106,-115.4133
SK,Saskatchewan,52.4167,-108.7
NB,New Brunswick,47.1625,-67.925
QC,Quebec,47.4333,-69.05
QC,Quebec,45.0667,-73.3
SK,Saskatchewan,55.45,-107.8833
MB,Manitoba,49.6711,-96.8179
QC,Quebec,45.8,-72.8667
ON,Ontario,46.1,-79.2333
QC,Quebec,46.1733,-72.1415
QC,Quebec,46.15,-74.7
QC,Quebec,46.0667,-72.1
BC,British Columbia,50.8832,-119.4782
NB,New Brunswick,47.7925,-64.6532
ON,Ontario,46.25,-83.55
QC,Quebec,47.4,-70.3833
AB,Alberta,49.8822,-113.0531
QC,Quebec,48.45,-71.5167
SK,Saskatchewan,50.5389,-104.0141
MB,Manitoba,49.975,-99.8658
QC,Quebec,47.3613,-79.3382
ON,Ontario,43.5441,-80.4997
NB,New Brunswick,45.5083,-65.6618
ON,Ontario,46.3422,-80.4497
QC,Quebec,46.13,-74.18
QC,Quebec,45.9333,-73.6167
MB,Manitoba,56.3472,-94.7078
QC,Quebec,45.5667,-72.5167
MB,Manitoba,49.1775,-97.3247
QC,Quebec,45.65,-76.5167
SK,Saskatchewan,53.5455,-108.8762
QC,Quebec,45.75,-70.7
MB,Manitoba,50.6389,-98.0417
QC,Quebec,47.9167,-69.4333
