"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Canada","2016A000011124","Total population","Part-time employment","Females","15 to 24 years","Persons","249","thousands","3","v53040113","1.1.5.3.2","660.5","","","","1"
"2006","Canada","2016A000011124","Total population","Part-time employment","Females","25 to 54 years","Persons","249","thousands","3","v53040114","1.1.5.3.3","1048.3","","","","1"
"2006","Canada","2016A000011124","Total population","Part-time employment","Females","55 years and over","Persons","249","thousands","3","v53040115","1.1.5.3.4","310.1","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment","Both sexes","15 years and over","Persons","249","thousands","3","v53040116","1.1.6.1.1","1107.3","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040117","1.1.6.1.2","332.6","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040118","1.1.6.1.3","648.6","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment","Both sexes","55 years and over","Persons","249","thousands","3","v53040119","1.1.6.1.4","126.2","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment","Males","15 years and over","Persons","249","thousands","3","v53040120","1.1.6.2.1","608.5","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment","Males","15 to 24 years","Persons","249","thousands","3","v53040121","1.1.6.2.2","187.9","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment","Males","25 to 54 years","Persons","249","thousands","3","v53040122","1.1.6.2.3","347.0","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment","Males","55 years and over","Persons","249","thousands","3","v53040123","1.1.6.2.4","73.5","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment","Females","15 years and over","Persons","249","thousands","3","v53040124","1.1.6.3.1","498.8","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment","Females","15 to 24 years","Persons","249","thousands","3","v53040125","1.1.6.3.2","144.6","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment","Females","25 to 54 years","Persons","249","thousands","3","v53040126","1.1.6.3.3","301.6","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment","Females","55 years and over","Persons","249","thousands","3","v53040127","1.1.6.3.4","52.6","","","","1"
"2006","Canada","2016A000011124","Total population","Not in labour force","Both sexes","15 years and over","Persons","249","thousands","3","v53040128","1.1.7.1.1","8639.5","","","","1"
"2006","Canada","2016A000011124","Total population","Not in labour force","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040129","1.1.7.1.2","1441.2","","","","1"
"2006","Canada","2016A000011124","Total population","Not in labour force","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040130","1.1.7.1.3","1973.0","","","","1"
"2006","Canada","2016A000011124","Total population","Not in labour force","Both sexes","55 years and over","Persons","249","thousands","3","v53040131","1.1.7.1.4","5225.2","","","","1"
"2006","Canada","2016A000011124","Total population","Not in labour force","Males","15 years and over","Persons","249","thousands","3","v53040132","1.1.7.2.1","3556.4","","","","1"
"2006","Canada","2016A000011124","Total population","Not in labour force","Males","15 to 24 years","Persons","249","thousands","3","v53040133","1.1.7.2.2","737.4","","","","1"
"2006","Canada","2016A000011124","Total population","Not in labour force","Males","25 to 54 years","Persons","249","thousands","3","v53040134","1.1.7.2.3","632.5","","","","1"
"2006","Canada","2016A000011124","Total population","Not in labour force","Males","55 years and over","Persons","249","thousands","3","v53040135","1.1.7.2.4","2186.5","","","","1"
"2006","Canada","2016A000011124","Total population","Not in labour force","Females","15 years and over","Persons","249","thousands","3","v53040136","1.1.7.3.1","5083.1","","","","1"
"2006","Canada","2016A000011124","Total population","Not in labour force","Females","15 to 24 years","Persons","249","thousands","3","v53040137","1.1.7.3.2","703.8","","","","1"
"2006","Canada","2016A000011124","Total population","Not in labour force","Females","25 to 54 years","Persons","249","thousands","3","v53040138","1.1.7.3.3","1340.6","","","","1"
"2006","Canada","2016A000011124","Total population","Not in labour force","Females","55 years and over","Persons","249","thousands","3","v53040139","1.1.7.3.4","3038.7","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v53040140","1.1.8.1.1","6.3","","","","1"
"2006","Canada","2016A000011124","Total population","Unemployment rate","Both sexes","15 to 24 years","Percentage","242","units","0","v53040141","1.1.8.1.2","11.4","","","","1"
